PROJECT	proj_load_zone	proj_gen_tech	proj_connect_cost_per_mw	proj_capacity_limit_mw
Oahu_OnshoreWind_OnWind_103	Oahu	OnshoreWind	484553.597132	100.0
Oahu_OnshoreWind_OnWind_104	Oahu	OnshoreWind	472249.805133	27.5
Oahu_OnshoreWind_OnWind_105	Oahu	OnshoreWind	479420.809428	17.5
Oahu_OnshoreWind_OnWind_106	Oahu	OnshoreWind	470889.635722	60.0
Oahu_OnshoreWind_OnWind_107	Oahu	OnshoreWind	467895.60763	20.0
Oahu_OnshoreWind_OnWind_201	Oahu	OnshoreWind	474605.686824	37.5
Oahu_OnshoreWind_OnWind_202	Oahu	OnshoreWind	483439.8791	220.0
Oahu_OnshoreWind_OnWind_203	Oahu	OnshoreWind	470713.851611	50.0
Oahu_OnshoreWind_OnWind_204	Oahu	OnshoreWind	480562.35377	15.0
Oahu_OnshoreWind_OnWind_205	Oahu	OnshoreWind	482763.390223	20.0
Oahu_OnshoreWind_OnWind_206	Oahu	OnshoreWind	490389.319102	10.0
Oahu_OnshoreWind_OnWind_207	Oahu	OnshoreWind	471169.690768	120.0
Oahu_OnshoreWind_OnWind_208	Oahu	OnshoreWind	467594.076792	82.5
Oahu_OnshoreWind_OnWind_209	Oahu	OnshoreWind	467503.885905	2.5
Oahu_OnshoreWind_OnWind_301	Oahu	OnshoreWind	469835.505168	120.0
Oahu_OnshoreWind_OnWind_302	Oahu	OnshoreWind	482288.496653	52.5
Oahu_OnshoreWind_OnWind_303	Oahu	OnshoreWind	488845.400492	15.0
Oahu_OnshoreWind_OnWind_304	Oahu	OnshoreWind	489383.921305	57.5
Oahu_OnshoreWind_OnWind_305	Oahu	OnshoreWind	483170.418421	170.0
Oahu_OnshoreWind_OnWind_306	Oahu	OnshoreWind	479861.735026	27.5
Oahu_OnshoreWind_OnWind_307	Oahu	OnshoreWind	467747.357051	75.0
Oahu_OnshoreWind_OnWind_308	Oahu	OnshoreWind	473727.636973	32.5
Oahu_OnshoreWind_OnWind_309	Oahu	OnshoreWind	480401.152293	2.5
Oahu_OnshoreWind_OnWind_401	Oahu	OnshoreWind	483062.349955	212.5
Oahu_OnshoreWind_OnWind_402	Oahu	OnshoreWind	486769.9248	52.5
Oahu_OnshoreWind_OnWind_403	Oahu	OnshoreWind	492089.991252	47.5
Oahu_OnshoreWind_OnWind_404	Oahu	OnshoreWind	474265.62945	50.0
Oahu_OnshoreWind_OnWind_405	Oahu	OnshoreWind	466471.006076	45.0
Oahu_OnshoreWind_OnWind_406	Oahu	OnshoreWind	476851.931254	42.5
Oahu_OnshoreWind_OnWind_407	Oahu	OnshoreWind	480919.758479	12.5
Oahu_OnshoreWind_OnWind_408	Oahu	OnshoreWind	488818.312327	15.0
Oahu_OnshoreWind_OnWind_409	Oahu	OnshoreWind	484455.25233	50.0
Oahu_OnshoreWind_OnWind_410	Oahu	OnshoreWind	480393.200556	2.5
Oahu_OnshoreWind_OnWind_501	Oahu	OnshoreWind	491164.057414	242.5
Oahu_OnshoreWind_OnWind_502	Oahu	OnshoreWind	483534.672419	42.5
Oahu_OnshoreWind_OnWind_503	Oahu	OnshoreWind	476877.90362	117.5
Oahu_OnshoreWind_OnWind_504	Oahu	OnshoreWind	465647.714297	20.0
Oahu_OnshoreWind_OnWind_505	Oahu	OnshoreWind	485205.30955	42.5
Oahu_OnshoreWind_OnWind_506	Oahu	OnshoreWind	493087.507884	7.5
Oahu_OnshoreWind_OnWind_507	Oahu	OnshoreWind	478714.058558	10.0
Oahu_OnshoreWind_OnWind_508	Oahu	OnshoreWind	480337.156932	2.5
Oahu_OnshoreWind_OnWind_509	Oahu	OnshoreWind	477757.813136	2.5
Oahu_OnshoreWind_OnWind_Kahuku	Oahu	OnshoreWind	491683.916651	30.0
Oahu_OnshoreWind_OnWind_Kawailoa	Oahu	OnshoreWind	487501.18726	69.0
