GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_17	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_17	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_18	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_18	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_18	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_18	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_18	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_18	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_18	2045	1415952.11519	22970.0
Oahu_DistPV_Oahu_DistPV_0	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_0	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_0	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_0	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_0	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_0	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_0	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_1	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_1	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_1	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_1	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_1	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_1	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_1	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_1	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_10	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_10	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_10	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_10	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_10	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_10	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_10	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_10	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_11	2016	3945000.0	0.0
Oahu_DistPV_Oahu_DistPV_11	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_11	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_11	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_11	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_11	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_11	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_11	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_12	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_12	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_12	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_12	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_12	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_12	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_12	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_13	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_13	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_13	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_13	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_13	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_13	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_13	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_14	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_14	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_14	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_14	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_14	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_14	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_14	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_15	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_15	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_15	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_15	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_15	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_15	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_15	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_16	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_16	2022	2891341.38008	0.0
Oahu_DistPV_Oahu_DistPV_16	2025	2612915.42852	0.0
Oahu_DistPV_Oahu_DistPV_16	2030	2284773.5948	0.0
Oahu_DistPV_Oahu_DistPV_16	2035	2062009.89386	0.0
Oahu_DistPV_Oahu_DistPV_16	2040	1861279.23001	0.0
Oahu_DistPV_Oahu_DistPV_16	2045	1680387.77698	0.0
Oahu_DistPV_Oahu_DistPV_17	2020	3128586.4886	0.0
Oahu_DistPV_Oahu_DistPV_17	2022	2891341.38008	0.0
